color,movie_title,genero,plot_keywords,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,,actor_1_name,,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Avatar ,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,0,855,Joel David Moore,1000,760505847,,CCH Pounder,,886204,4834,Wes Studi,0,,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,USA,PG-13,237000000,2009,936,7.9,1.78,33000
Color,Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,563,1000,Orlando Bloom,40000,309404152,,Johnny Depp,,471220,48350,Jack Davenport,0,,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,USA,PG-13,300000000,2007,5000,7.1,2.35,0
Color,Spectre ,Action|Adventure|Thriller,bomb|espionage|sequel|spy|terrorist,0,161,Rory Kinnear,11000,200074175,,Christoph Waltz,,275868,11700,Stephanie Sigman,1,,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,UK,PG-13,245000000,2015,393,6.8,2.35,85000
Color,The Dark Knight Rises ,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,22000,23000,Christian Bale,27000,448130642,,Tom Hardy,,1144337,106759,Joseph Gordon-Levitt,0,,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
,Star Wars: Episode VII - The Force Awakens             ,Documentary,,131,,Rob Walker,131,,,Doug Walker,,8,143,,0,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,12,7.1,,0
Color,John Carter ,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,475,530,Samantha Morton,640,73058679,,Daryl Sabara,,212204,1873,Polly Walker,1,,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Color,Spider-Man 3 ,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,0,4000,James Franco,24000,336530303,,J.K. Simmons,,383056,46055,Kirsten Dunst,0,,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,PG-13,258000000,2007,11000,6.2,2.35,0
Color,Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,15,284,Donna Murphy,799,200807262,,Brad Garrett,,294810,2036,M.C. Gainey,1,,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,USA,PG,260000000,2010,553,7.8,1.85,29000
Color,Avengers: Age of Ultron ,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,0,19000,Robert Downey Jr.,26000,458991599,,Chris Hemsworth,,462669,92000,Scarlett Johansson,4,,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,USA,PG-13,250000000,2015,21000,7.5,2.35,118000
Color,Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,282,10000,Daniel Radcliffe,25000,301956980,,Alan Rickman,,321795,58753,Rupert Grint,3,,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,UK,PG,250000000,2009,11000,7.5,2.35,10000
Color,Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,0,2000,Lauren Cohan,15000,330249062,,Henry Cavill,,371639,24450,Alan D. Purwin,0,,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Color,Superman Returns ,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,0,903,Marlon Brando,18000,200069408,,Kevin Spacey,,240396,29991,Frank Langella,0,,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,English,USA,PG-13,209000000,2006,10000,6.1,2.35,0
Color,Quantum of Solace ,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,395,393,Mathieu Amalric,451,168368427,,Giancarlo Giannini,,330784,2023,Rory Kinnear,1,,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,English,UK,PG-13,200000000,2008,412,6.7,2.35,0
Color,Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,563,1000,Orlando Bloom,40000,423032628,,Johnny Depp,,522040,48486,Jack Davenport,2,,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,English,USA,PG-13,225000000,2006,5000,7.3,2.35,5000
Color,The Lone Ranger ,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,563,1000,Ruth Wilson,40000,89289910,,Johnny Depp,,181792,45757,Tom Wilkinson,1,,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,PG-13,215000000,2013,2000,6.5,2.35,48000
Color,Man of Steel ,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,0,748,Christopher Meloni,15000,291021565,,Henry Cavill,,548573,20495,Harry Lennix,0,,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,USA,PG-13,225000000,2013,3000,7.2,2.35,118000
Color,The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,80,201,Pierfrancesco Favino,22000,141614023,,Peter Dinklage,,149922,22697,Damián Alcázar,4,,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,English,USA,PG,225000000,2008,216,6.6,2.35,0
Color,The Avengers ,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,0,19000,Robert Downey Jr.,26000,623279547,,Chris Hemsworth,,995415,87697,Scarlett Johansson,3,,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,PG-13,220000000,2012,21000,8.1,1.85,123000
Color,Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,252,1000,Sam Claflin,40000,241063875,,Johnny Depp,,370704,54083,Stephen Graham,4,,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,PG-13,250000000,2011,11000,6.7,2.35,58000
Color,Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,188,718,Michael Stuhlbarg,10000,179020854,,Will Smith,,268154,12572,Nicole Scherzinger,1,,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,PG-13,225000000,2012,816,6.8,1.85,40000
Color,The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,0,773,Adam Brown,5000,255108370,,Aidan Turner,,354228,9152,James Nesbitt,0,,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,English,New Zealand,PG-13,250000000,2014,972,7.5,2.35,65000
Color,The Amazing Spider-Man ,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,464,963,Andrew Garfield,15000,262030663,,Emma Stone,,451803,28489,Chris Zylka,0,,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2012,10000,7,2.35,56000
Color,Robin Hood ,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,0,738,William Hurt,891,105219735,,Mark Addy,,211765,3244,Scott Grimes,0,,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,PG-13,200000000,2010,882,6.7,2.35,17000
Color,The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,0,773,Adam Brown,5000,258355354,,Aidan Turner,,483540,9152,James Nesbitt,6,,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,English,USA,PG-13,225000000,2013,972,7.9,2.35,83000
Color,The Golden Compass ,Adventure|Family|Fantasy,children|epic|friend|girl|quest,129,1000,Eva Green,16000,70083519,,Christopher Lee,,149019,24106,Kristin Scott Thomas,2,,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,English,USA,PG-13,180000000,2007,6000,6.1,2.35,0
Color,King Kong ,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,0,84,Thomas Kretschmann,6000,218051260,,Naomi Watts,,316018,7123,Evan Parke,0,,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0
Color,Titanic ,Drama|Romance,artist|love|ship|titanic|wet,0,794,Kate Winslet,29000,658672302,,Leonardo DiCaprio,,793059,45223,Gloria Stuart,0,,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,PG-13,200000000,1997,14000,7.7,2.35,26000
Color,Captain America: Civil War ,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,94,11000,Scarlett Johansson,21000,407197282,,Robert Downey Jr.,,272670,64798,Chris Evans,0,,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Color,Battleship ,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,532,627,Alexander Skarsgård,14000,65173160,,Liam Neeson,,202382,26679,Tadanobu Asano,0,,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000
Color,Jurassic World ,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,365,1000,Judy Greer,3000,652177271,,Bryce Dallas Howard,,418214,8458,Omar Sy,0,,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,PG-13,150000000,2015,2000,7,2,150000
Color,Skyfall ,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,0,393,Helen McCrory,883,304360277,,Albert Finney,,522030,2039,Rory Kinnear,0,,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,PG-13,200000000,2012,563,7.8,2.35,80000
Color,Spider-Man 2 ,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,0,4000,James Franco,24000,373377893,,J.K. Simmons,,411164,43388,Kirsten Dunst,1,,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,PG-13,200000000,2004,11000,7.3,2.35,0
Color,Iron Man 3 ,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,1000,3000,Jon Favreau,21000,408992272,,Robert Downey Jr.,,557489,30426,Don Cheadle,3,,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000
Color,Alice in Wonderland ,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,13000,11000,Alan Rickman,40000,334185206,,Johnny Depp,,306320,79957,Anne Hathaway,0,,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000,6.5,1.85,24000
Color,X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,420,560,Kelsey Grammer,20000,234360014,,Hugh Jackman,,383427,21714,Daniel Cudmore,0,,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0
Color,Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,37,760,Tyler Labine,12000,268488329,,Steve Buscemi,,235025,14863,Sean Hayes,0,,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,2013,779,7.3,1.85,44000
Color,Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,0,464,Kevin Dunn,894,402076689,,Glenn Morshower,,323207,3218,Ramon Rodriguez,0,,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2009,581,6,2.35,0
Color,Transformers: Age of Extinction ,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,0,808,Sophia Myles,974,245428137,,Bingbing Li,,242420,3988,Kelsey Grammer,2,,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,PG-13,210000000,2014,956,5.7,2.35,56000
Color,Oz the Great and Powerful ,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,0,11000,Mila Kunis,44000,234903076,,Tim Holmes,,175409,73441,James Franco,4,,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,PG,215000000,2013,15000,6.4,2.35,60000
Color,The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,464,825,Andrew Garfield,15000,202853933,,Emma Stone,,321227,28631,B.J. Novak,0,,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000
Color,TRON: Legacy ,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,364,1000,Olivia Wilde,12000,172051787,,Jeff Bridges,,264183,25550,James Frain,0,,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,PG,170000000,2010,10000,6.8,2.35,30000
Color,Cars 2 ,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,487,776,Thomas Kretschmann,1000,191450875,,Joe Mantegna,,101178,4482,Eddie Izzard,0,,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,919,6.3,2.35,10000
Color,Green Lantern ,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,258,326,Temuera Morrison,16000,116593191,,Ryan Reynolds,,223393,17657,Taika Waititi,2,,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000
Color,Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,125,721,John Ratzenberger,15000,414984497,,Tom Hanks,,544884,19085,Don Rickles,3,,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,2010,1000,8.3,1.85,30000
Color,Terminator Salvation ,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,368,988,Bryce Dallas Howard,23000,125320003,,Christian Bale,,286095,27468,Common,0,,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0
Color,Furious 7 ,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,0,14000,Paul Walker,26000,350034110,,Jason Statham,,278232,79150,Vin Diesel,0,,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2015,23000,7.2,2.35,94000
Color,World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,395,1000,Brad Pitt,17000,202351611,,Peter Capaldi,,465019,32392,Mireille Enos,0,,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,11000,7,2.35,129000
Color,X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,0,20000,Peter Dinklage,34000,233914986,,Jennifer Lawrence,,514125,91434,Hugh Jackman,7,,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,22000,8,2.35,82000
Color,Star Trek Into Darkness ,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,14000,928,Bruce Greenwood,19000,228756232,,Benedict Cumberbatch,,395573,21411,Noel Clarke,0,,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000
Color,Jack the Giant Slayer ,Adventure|Fantasy,bean|giant|king|no opening credits|princess,0,140,Ewen Bremner,979,65171860,,Eddie Marsan,,106416,1766,Ralph Brown,1,,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,557,6.3,2.35,22000
